,County,ID
643,Griggs,9
644,Grimes,13
645,Grundy,200
646,Guadalupe,241
647,Guernsey,42
648,Guilford,1990
649,Gulf,38
650,Gunnison,90
651,Guthrie,7
652,Gwinnett,1948
653,Habersham,92
654,Hale,25
655,Halifax,338
656,Hall,318
657,Hamblen,63
658,Hamilton,16638
659,Hampden,233
660,Hampshire,53
661,Hampton,2120
662,Hampton City,7
663,Hancock,644
664,Hanover,2032
665,Hanson,1
666,Haralson,148
667,Hardee,318
668,Hardeman,4
669,Hardin,127
670,Hardy,11
671,Harford,2747
672,Harlan,7
673,Harnett,515
674,Harney,929
675,Harris,42559
676,Harrison,636
677,Harrisonburg,410
678,Harrisonburg City,16
679,Hart,49
680,Hartford,9417
681,Hartley,2
682,Harvey,5
683,Haskell,1
684,Hawkins,35
685,Hays,306
686,Haywood,719
687,Heard,80
688,Hempstead,79
689,Henderson,862
690,Hendricks,408
691,Hendry,239
692,Hennepin,26560
693,Henrico,7578
694,Henry,1641
695,Herkimer,315
696,Hernando,1123
697,Hertford,28
698,Hettinger,11
699,Hickman,113
700,Hickory,1
701,Hidalgo,68
702,Highland,67
703,Highlands,817
704,Hill,119
705,Hillsborough,20499
706,Hillsdale,9
707,Hinds,1622
708,Hinsdale,6
709,Hocking,30
710,Hockley,1
711,Hodgeman,12
712,Hoke,48
713,Holmes,332
714,Holt,17
715,Hood,3
716,Hood River,1198
717,Hopewell,22
718,Hopewell City,3
719,Hopkins,3
720,Horry,5803
721,Hot Spring,211
722,Hot Springs,6
723,Houghton,6
724,Houston,681
725,Howard,2858
726,Hubbard,421
727,Hudson,4490
728,Hudspeth,12
729,Huerfano,152
730,Hughes,5
731,Humboldt,3705
732,Humphreys,110
733,Hunt,33
734,Hunterdon,470
735,Huntingdon,542
736,Huntington,48
737,Huron,45
738,Hutchinson,9
739,Hyde,4
740,Iberia,3
741,Iberville,181
742,Ida,8
743,Idaho,56
744,Imperial,135
745,Independence,57
746,Indian River,431
747,Indiana,172
748,Ingham,1059
749,Inyo,879
750,Ionia,109
751,Iosco,13
752,Iowa,161
753,Iredell,846
754,Iron,1296
755,Iroquois,28
756,Irwin,19
757,Isabella,41
758,Isanti,356
759,Island,164
760,Isle Of Wight,13
761,Isle of Wight,330
762,Itasca,736
763,Itawamba,15
764,Izard,4
765,Jackson,20832
766,James City,599
767,Jasper,1831
768,Jay,22
769,Jeff Davis,11
770,Jefferson,15912
771,Jefferson Davis,47
772,Jenkins,12
773,Jennings,40
774,Jerome,296
775,Jersey,7
776,Jessamine,13
777,Jewell,2
778,Jim Wells,2
779,Jo Daviess,4
780,Johnson,6391
781,Johnston,1189
782,Jones,112
783,Josephine,3373
784,Juab,678
785,Judith Basin,62
786,Juneau,65
787,Juniata,458
788,Kalamazoo,735
789,Kalkaska,18
790,Kanabec,208
791,Kanawha,2461
792,Kandiyohi,623
793,Kane,1200
794,Kankakee,36
795,Kaufman,370
796,Kay,7
797,Kearney,1
798,Keith,47
799,Kendall,88
800,Kennebec,218
801,Kenosha,173
802,Kent,9072
803,Kenton,970
804,Keokuk,8
805,Kern,21310
806,Kerr,7
807,Kershaw,1369
808,Kidder,72
809,Kimball,13
810,Kimble,7
811,King,15903
812,King And Queen,4
813,King George,385
814,King William,100
815,King and Queen,44
816,Kingfisher,3
817,Kingman,1
818,Kings,8423
819,Kingsbury,1
820,Kiowa,44
821,Kit Carson,32
822,Kitsap,557
823,Kittitas,231
824,Klamath,5046
825,Klickitat,128
826,Knox,2202
827,Koochiching,149
828,Kootenai,371
829,Kosciusko,37
830,Kossuth,10
831,La Crosse,58
832,La Paz,469
833,La Plata,37
834,La Porte,26
835,La Salle,24
836,LaGrange,70
837,LaMoure,24
838,LaPorte,223
839,LaSalle,53
840,Labette,12
841,Lac qui Parle,31
842,Lackawanna,459
843,Laclede,82
844,Lafayette,411
845,Lafourche,30
846,Lagrange,10
847,Lake,23584
848,Lake of the Woods,29
849,Lamar,359
850,Lamb,3
851,Lamoille,8
852,Lancaster,10110
853,Lander,59
854,Lane,8219
855,Langlade,11
856,Lanier,3
857,Lapeer,67
858,Laramie,91
859,Larimer,832
860,Larue,6
861,Las Animas,191
862,Lassen,1342
863,Latah,30
864,Lauderdale,79
865,Laurel,47
866,Laurens,1411
867,Lavaca,1
868,Lawrence,716
869,Le Flore,1
870,Le Sueur,422
871,Lea,42
872,Leake,10
873,Leavenworth,43
874,Lebanon,889
875,Lee,13641
876,Leelanau,17
877,Lehigh,1841
878,Lemhi,5
879,Lenawee,83
880,Lenoir,89
881,Leon,3330
